"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.224313553E2,1.069525909E0,-1.453791824E1,-1.308054886E1,1.958559958E1
3.224413883E2,2.331401825E0,-1.348216370E1,-5.690416718E0,1.481840122E1
3.224514213E2,1.862576752E0,-1.247430954E1,1.032552795E0,1.265479182E1
3.224614543E2,5.405259705E-1,-1.183483932E1,4.288132782E0,1.259935208E1
3.224714873E2,-1.209484863E-1,-1.171104675E1,4.837939453E0,1.267157854E1
3.224815193E2,8.598120117E-1,-1.203766754E1,4.769232330E0,1.297652856E1
3.224915523E2,2.519111481E0,-1.322724380E1,3.896247711E0,1.401736949E1
3.225015853E2,2.582729187E0,-1.411519730E1,3.585793304E0,1.479078086E1
3.225116183E2,2.906805267E0,-1.450977676E1,4.068988495E0,1.534730615E1
3.225216503E2,3.738026733E0,-1.429227905E1,4.302502899E0,1.538680004E1
3.225316833E2,4.460424500E0,-1.392793671E1,3.947291565E0,1.514806649E1
3.225417163E2,4.864134979E0,-1.341899506E1,3.271446991E0,1.464348329E1
3.225517493E2,5.188809814E0,-1.278012360E1,2.095642090E0,1.395159569E1
3.225617823E2,5.425767059E0,-1.230665817E1,7.261399841E-1,1.346922651E1
3.225718143E2,5.039270782E0,-1.209589645E1,-1.013392639E-1,1.310401582E1
3.225818473E2,4.113895111E0,-1.206535995E1,4.775070190E-2,1.274752227E1
3.225918803E2,2.636168060E0,-1.211760132E1,1.019978943E0,1.244290966E1
3.226019133E2,1.746567993E0,-1.174742111E1,1.649569702E0,1.199055807E1
3.226119453E2,1.408870239E0,-1.111738129E1,1.780547333E0,1.134686877E1
3.226219783E2,6.059399414E-1,-1.031295410E1,2.450703735E0,1.061744481E1
3.226320113E2,8.382568359E-2,-9.425898743E0,2.534379730E0,9.761028351E0
3.226420443E2,-1.199006653E-1,-8.504414978E0,2.341281281E0,8.821623905E0
3.226520773E2,-2.119592285E-1,-7.867788849E0,2.501148834E0,8.258497053E0
3.226621093E2,-9.864486694E-2,-7.292684784E0,2.941832428E0,7.864309264E0
3.226721423E2,-4.490661621E-3,-6.760391693E0,3.340902557E0,7.540858433E0
3.226821753E2,4.216731262E-1,-6.398893433E0,3.498524780E0,7.305020262E0
3.226922083E2,7.318281555E-1,-6.131549377E0,3.424578552E0,7.061105330E0
3.227022403E2,8.056246948E-1,-5.959407349E0,3.455713806E0,6.935814661E0
3.227122733E2,8.752299500E-1,-5.717959442E0,3.417243805E0,6.718529815E0
3.227223062E2,9.934840393E-1,-5.380261688E0,3.268153839E0,6.372994264E0
3.227323392E2,1.289418640E0,-4.931943970E0,3.116668854E0,5.974972510E0
3.227423722E2,1.649869080E0,-4.415667572E0,3.057841187E0,5.618770400E0
3.227524042E2,2.036515045E0,-3.853137360E0,3.034040680E0,5.310316741E0
3.227624372E2,2.509980469E0,-3.259022827E0,3.047812042E0,5.119608382E0
3.227724702E2,2.888243866E0,-2.790347443E0,3.122656403E0,5.087138143E0
3.227825032E2,3.061733093E0,-2.452649689E0,3.243754578E0,5.090348101E0
3.227925352E2,3.089724884E0,-2.241887970E0,3.421285400E0,5.126173555E0
3.228025682E2,3.123255157E0,-2.132465515E0,3.524271240E0,5.169392588E0
3.228126012E2,3.021466827E0,-2.096839600E0,3.585643616E0,5.136422708E0
3.228226342E2,2.845432892E0,-2.452949066E0,3.697311401E0,5.271011199E0
3.228326672E2,2.780318298E0,-3.146157532E0,3.777544556E0,5.647859765E0
3.228426992E2,2.633773041E0,-4.241130524E0,3.671864319E0,6.197300713E0
3.228527322E2,2.412682800E0,-6.027815094E0,3.025807800E0,7.163177085E0
3.228627652E2,2.078727264E0,-8.399483185E0,1.314566345E0,8.752171701E0
3.228727982E2,1.468296661E0,-1.144310394E1,-2.662513275E0,1.184016469E1
3.228828302E2,1.040935364E0,-1.755384659E1,-1.682591034E1,2.433787861E1
3.228928632E2,1.656006317E0,-3.145304306E1,-4.125271454E1,5.190204940E1
3.229028962E2,-2.349663849E0,-4.045292770E1,-3.838467865E1,5.581526525E1
3.229129292E2,-4.749024353E0,-3.329915405E1,-2.145353714E1,3.989537754E1
3.229229622E2,-2.244582367E0,-1.945758774E1,-8.979377289E0,2.154681153E1
