"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.087751208E0,3.913761292E0,3.397933960E-2,8.364156647E0,9.234597904E0
2.097783208E0,3.734134827E0,6.054908752E-1,6.953041077E0,7.915501394E0
2.107815208E0,3.302282867E0,1.009051666E0,5.944288788E0,6.874432820E0
2.117846208E0,2.670596466E0,1.458117828E0,5.319039001E0,6.127835587E0
2.127878208E0,2.293680267E0,1.877246246E0,5.073848877E0,5.876135215E0
2.137910208E0,2.375110931E0,2.099833374E0,5.085973663E0,5.993127751E0
2.147942208E0,2.409090271E0,2.152224426E0,5.276677094E0,6.187011158E0
2.157974208E0,2.036065979E0,2.083367615E0,5.367987213E0,6.107476730E0
2.168006208E0,1.318607941E0,1.958976288E0,5.515580292E0,5.999828410E0
2.178038209E0,6.845265198E-1,1.851050720E0,5.841602325E0,6.165977867E0
2.188070208E0,5.577401733E-1,1.852846985E0,6.373146973E0,6.660414280E0
2.198102208E0,7.595205688E-1,1.796114960E0,6.895261230E0,7.165718937E0
2.208133208E0,8.059240723E-1,1.632654877E0,7.226672058E0,7.452507269E0
2.218165208E0,7.467970276E-1,1.416803741E0,7.136709137E0,7.314209181E0
2.228197208E0,6.911128235E-1,1.247056732E0,6.685996399E0,6.836324691E0
2.238229208E0,7.427554321E-1,1.196312256E0,6.128854980E0,6.288538146E0
2.248261208E0,8.020321655E-1,1.153052216E0,5.672753448E0,5.844049683E0
2.258293208E0,7.747888184E-1,1.185684357E0,5.270839233E0,5.457828445E0
2.268325208E0,7.366181946E-1,1.334325256E0,4.930147705E0,5.160366910E0
2.278357208E0,6.747967529E-1,1.497635651E0,4.640050964E0,4.922228779E0
2.288388208E0,4.914280701E-1,1.740281067E0,4.449796600E0,4.803204089E0
2.298420209E0,1.621128845E-1,2.001936951E0,4.362528076E0,4.802674605E0
2.308452208E0,-2.607577515E-1,2.221380615E0,4.338877258E0,4.881432403E0
2.318484208E0,-5.301974487E-1,2.496508484E0,4.506528625E0,5.179040857E0
2.328516208E0,-5.222639465E-1,2.744243317E0,4.717290344E0,5.482377149E0
2.338548208E0,-3.779640198E-1,2.982398071E0,4.810247040E0,5.672392056E0
2.348580208E0,7.783813477E-3,2.729124756E0,4.455185394E0,5.224639645E0
2.358612208E0,7.403604126E-1,2.239942017E0,4.031266937E0,4.670822936E0
2.368643208E0,1.209484863E0,1.564696198E0,4.677173767E0,5.078098293E0
2.378675208E0,1.526525574E0,5.471122742E-1,6.630461884E0,6.825879940E0
2.388707208E0,2.251018982E0,-5.882766724E-1,9.448801117E0,9.731032753E0
2.398739208E0,3.482358398E0,-1.517244873E0,1.249915787E1,1.306360591E1
2.408771208E0,4.887486420E0,-2.355202332E0,1.544652878E1,1.637161424E1
2.418803209E0,6.490053864E0,-3.196153564E0,1.789034683E1,1.929768656E1
2.428835208E0,7.486381989E0,-3.864064636E0,1.948034042E1,2.122405649E1
2.438867208E0,6.858288116E0,-3.670217743E0,2.023836411E1,2.168174338E1
2.448899208E0,5.744753723E0,-2.166594543E0,2.084535187E1,2.173073910E1
2.458930208E0,5.074148254E0,-2.594105530E-1,2.192954727E1,2.251042687E1
2.468962208E0,4.241130524E0,8.189469910E-1,2.312750610E1,2.352741807E1
2.478994208E0,3.201991425E0,6.837780762E-1,2.366234390E1,2.388779648E1
2.489026208E0,2.469714203E0,9.310638428E-2,2.324411362E1,2.337513583E1
2.499058208E0,2.971770172E0,-1.553768921E-1,2.176429092E1,2.196679129E1
2.509090208E0,4.116439819E0,1.661544800E-2,1.923125839E1,1.966689229E1
2.519122208E0,5.104834442E0,1.303788757E-1,1.641261978E1,1.718867131E1
2.529154208E0,5.536836090E0,-3.263214111E-2,1.385264328E1,1.491822190E1
2.539185209E0,5.636828156E0,-1.585203552E-1,1.168350403E1,1.297317335E1
2.549217209E0,5.410349121E0,-3.278182983E-2,9.727820892E0,1.113119273E1
2.559249208E0,4.828209686E0,2.146536255E-1,8.157885590E0,9.482024164E0
2.569281208E0,4.248914337E0,8.156538391E-1,7.231761475E0,8.427154814E0
2.579313208E0,3.491040344E0,1.654210052E0,6.633755035E0,7.676619012E0
2.589345208E0,2.357747040E0,2.395917664E0,6.331982574E0,7.168918738E0
2.599377208E0,1.027014313E0,2.786305847E0,6.249953156E0,6.919550066E0
2.609409208E0,-5.149291992E-2,2.776426392E0,6.018534393E0,6.628269101E0
2.619440208E0,-8.598120117E-1,2.703527985E0,5.641468506E0,6.314626447E0
2.629472208E0,-1.263971558E0,2.701282654E0,5.144951019E0,5.946854048E0
